Startup,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Maturity,Inc. Radar,x,y,Founded
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
,,,,,,,FALSE,,,
